id,followers,genres,name,popularity,img_url_640,img_url_320,img_url_160
5zYToOgGvDqIZajn2UAhaq,33.0,[],Peter Balazs,38,,,
64LEkaZmatB7DhVnkDlZhh,125370.0,"['nordnorsk musikk', 'norwegian pop']",Sirkus Eliassen,39,https://i.scdn.co/image/ab6761610000e5eb68dc58eb3b0e34e92cbba771,https://i.scdn.co/image/ab6761610000517468dc58eb3b0e34e92cbba771,https://i.scdn.co/image/ab6761610000f17868dc58eb3b0e34e92cbba771
16GcWuvvybAoaHr0NqT8Eh,1615241.0,"['alabama indie', 'indie rock', 'modern blues rock', 'rock']",Alabama Shakes,65,https://i.scdn.co/image/ab6761610000e5eb854713444dd710e1fb4a1b69,https://i.scdn.co/image/ab67616100005174854713444dd710e1fb4a1b69,https://i.scdn.co/image/ab6761610000f178854713444dd710e1fb4a1b69
6roFdX1y5BYSbp60OTJWMd,4455335.0,"['contemporary country', 'country', 'country road']",Tim McGraw,77,https://i.scdn.co/image/ab6761610000e5ebbd6977f3970a7a4a8d4becbe,https://i.scdn.co/image/ab67616100005174bd6977f3970a7a4a8d4becbe,https://i.scdn.co/image/ab6761610000f178bd6977f3970a7a4a8d4becbe
7wNkISK49lKeXuRaZcQVFe,100922.0,"['classical', 'early music', 'post-romantic era']",Ralph Vaughan Williams,57,,,
1EVeVnal9cVmVEFFBSzTWW,76023.0,"['hindustani classical', 'hindustani vocal', 'indian classical', 'marathi traditional']",Jitendra Abhisheki,21,https://i.scdn.co/image/ab67616d0000b2732399ea89cf12d2ad388bfe30,,
7EIOmfcBRSR63ZaUptkD09,191845.0,"['dark trap', 'emo rap', 'sad rap']",guccihighwaters,64,https://i.scdn.co/image/ab6761610000e5eb3296e20811004f17c44e0892,https://i.scdn.co/image/ab676161000051743296e20811004f17c44e0892,https://i.scdn.co/image/ab6761610000f1783296e20811004f17c44e0892
5fkHPXDNaqz3GrYYhO8APB,79702.0,"['j-rock', 'shibuya-kei']",Flipper's Guitar,38,https://i.scdn.co/image/ab6761610000e5eb9fd5c1a2a642445080cceeff,https://i.scdn.co/image/ab676161000051749fd5c1a2a642445080cceeff,https://i.scdn.co/image/ab6761610000f1789fd5c1a2a642445080cceeff
4xvB67czbtvemGVXGa81oK,243896.0,"['musica catalana', 'rumba', 'rumba catalana', 'spanish pop']",La Pegatina,60,https://i.scdn.co/image/ab6761610000e5eb1a71ce2a884a82f6c5c4e3d0,https://i.scdn.co/image/ab676161000051741a71ce2a884a82f6c5c4e3d0,https://i.scdn.co/image/ab6761610000f1781a71ce2a884a82f6c5c4e3d0
5xgQQDQEfbueEywSz16GXt,95220.0,"['montenegrin pop', 'turbo folk']",Dado Polumenta,47,https://i.scdn.co/image/ab6761610000e5eb9317da2544f61aea2ef5afaf,https://i.scdn.co/image/ab676161000051749317da2544f61aea2ef5afaf,https://i.scdn.co/image/ab6761610000f1789317da2544f61aea2ef5afaf
4Z8W4fKeB5YxbusRsdQVPb,9652264.0,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",Radiohead,81,https://i.scdn.co/image/ab6761610000e5eba03696716c9ee605006047fd,https://i.scdn.co/image/ab67616100005174a03696716c9ee605006047fd,https://i.scdn.co/image/ab6761610000f178a03696716c9ee605006047fd
1rdXEdH8SRIqbuTbzQzd93,132824.0,"['funk carioca', 'musica popular paraense', 'pop lgbtq+ brasileira', 'tecnobrega']",Jaloo,53,https://i.scdn.co/image/ab6761610000e5ebbf1022cb2c272ce635e4c113,https://i.scdn.co/image/ab67616100005174bf1022cb2c272ce635e4c113,https://i.scdn.co/image/ab6761610000f178bf1022cb2c272ce635e4c113
0rG7yyjd15xAQ3Z9SK4FU3,9670.0,"['mainland chinese pop', 'mandopop']",Koala Liu,38,https://i.scdn.co/image/ab6761610000e5eb711c06f96ab64bf252bf0f6b,https://i.scdn.co/image/ab67616100005174711c06f96ab64bf252bf0f6b,https://i.scdn.co/image/ab6761610000f178711c06f96ab64bf252bf0f6b
1Z6uN0tVLoKb8RIqHQzdSu,53014.0,"['finnish dance pop', 'finnish pop', 'iskelma', 'suomi rock']",Samuli Edelmann,47,https://i.scdn.co/image/ab6761610000e5eb16e76719f8f19c51c8c6849f,https://i.scdn.co/image/ab6761610000517416e76719f8f19c51c8c6849f,https://i.scdn.co/image/ab6761610000f17816e76719f8f19c51c8c6849f
28qT1U6wHdW2WSCGdA7ZDQ,28242.0,[],Zekai Tunca,31,https://i.scdn.co/image/ab67616d0000b273f08791575262f22ad851107a,,
6gvVFtkTV4OCyQSCzGgU1h,357910.0,['czsk hip hop'],Nik Tendo,66,https://i.scdn.co/image/ab6761610000e5eb60bf1e4f51a91157526333c7,https://i.scdn.co/image/ab6761610000517460bf1e4f51a91157526333c7,https://i.scdn.co/image/ab6761610000f17860bf1e4f51a91157526333c7
5WBO8UyOuJ1l7ZBqqBimpO,487287.0,"['j-pop', 'j-poprock']",YUI,61,https://i.scdn.co/image/ab6761610000e5eb8f1a9645d31010a8f81b7e89,https://i.scdn.co/image/ab676161000051748f1a9645d31010a8f81b7e89,https://i.scdn.co/image/ab6761610000f1788f1a9645d31010a8f81b7e89
39B7ChWwrWDs7zXlsu3MoP,183389.0,"['deep groove house', 'deep house', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']",Sonny Fodera,70,https://i.scdn.co/image/ab6761610000e5eb1fec314e385e0ce049bbe8a9,https://i.scdn.co/image/ab676161000051741fec314e385e0ce049bbe8a9,https://i.scdn.co/image/ab6761610000f1781fec314e385e0ce049bbe8a9
5BANJdBRihIaUpzjqAec7E,162852.0,"['j-acoustic', 'j-pop', 'j-rock', 'japanese jazz fusion']",Ohashi Trio,52,https://i.scdn.co/image/ab6761610000e5eb410eb6b9d7d364784c5e13c9,https://i.scdn.co/image/ab67616100005174410eb6b9d7d364784c5e13c9,https://i.scdn.co/image/ab6761610000f178410eb6b9d7d364784c5e13c9
4DXcK8M3bJkCFfhHIkudyL,55830.0,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",Ben Gold,48,https://i.scdn.co/image/ab6761610000e5ebb6ff93cc078c9e7e76bd1fd2,https://i.scdn.co/image/ab67616100005174b6ff93cc078c9e7e76bd1fd2,https://i.scdn.co/image/ab6761610000f178b6ff93cc078c9e7e76bd1fd2
4zllvElH16KlgTqRstwYIb,21848.0,"['progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']",Sneijder,39,,,
1PBYbrSMQkz42uJ2eNhftc,1204.0,[],H&H SoulSurvivors,30,https://i.scdn.co/image/ab6761610000e5eb07d224e74da9f33d968d92c9,https://i.scdn.co/image/ab6761610000517407d224e74da9f33d968d92c9,https://i.scdn.co/image/ab6761610000f17807d224e74da9f33d968d92c9
1oqThNqOfhev071PvmOwWQ,173783.0,"['manele', 'romanian pop']",DJ Project,50,https://i.scdn.co/image/ab6761610000e5eba8f9dce9103e30a3f9a3d781,https://i.scdn.co/image/ab67616100005174a8f9dce9103e30a3f9a3d781,https://i.scdn.co/image/ab6761610000f178a8f9dce9103e30a3f9a3d781
5cQzEZp11I3of5jdQ2GAVK,266934.0,"['classic indonesian rock', 'indonesian rock']",Boomerang,46,https://i.scdn.co/image/ab67616d0000b273a025614ff2f992f0f98bdb1e,,
3UcvB0rDa44LfjsOO5Btfc,25365.0,"['cool jazz', 'jazz', 'jazz quartet']",Chet Baker Quartet,35,https://i.scdn.co/image/ab67616d0000b273dd1c9ce9a91496b6b53e5370,,
5jAekg5boUseRfe3LyAXP5,1458.0,[],Efectos de Sonido,23,,,
4uI2v5FcRguAWUk6MqPTBO,13515.0,[],Don Shirley Trio,31,https://i.scdn.co/image/ab67616d0000b27351f58007038942d90c5d92c3,,
4FqPRilb0Ja0TKG3RS3y4s,594950.0,"['edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",Steve Angello,63,https://i.scdn.co/image/ab6761610000e5eb2bd2406364f86733efafcf80,https://i.scdn.co/image/ab676161000051742bd2406364f86733efafcf80,https://i.scdn.co/image/ab6761610000f1782bd2406364f86733efafcf80
6hCsqVHnBo1BVQWuIjRMkL,84065.0,['bossa nova'],Sergio Mendes & Brasil '66,56,https://i.scdn.co/image/ab67616d0000b27363b382b8786ce29eb28783c5,,
2p8rLc4EurmlEyJq770JPl,12331.0,['lullaby'],littleONES,66,https://i.scdn.co/image/ab67616d0000b2733f8a291773e5c3c1cf9b4093,,
5ElXLkDzZPQA9fBzBjA9TJ,62.0,[],David Ling Jr,47,,,
01M9PaHyK0Ta3dOUP8bq6z,112.0,['disney dansk'],Sound of Gospel,23,,,
21GGkCJG1qIYnAe8rNUgvu,289154.0,"['classic thai pop', 'thai pop']",Peacemaker,37,https://i.scdn.co/image/ab67616d0000b2734246c7b2abe0ffdaab2bcf11,,
4utxbudXUuseiCfVJ0B2xM,23846.0,"['african rock', 'afrikaans']",Koos Du Plessis,24,https://i.scdn.co/image/ab67616d0000b273320c1a472f6dba239334e742,,
4asCC4oxQcDzFXhCth2SgQ,251840.0,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock']",Gary Puckett & The Union Gap,49,https://i.scdn.co/image/cb4eda4c8394aee4262a10fa0be621a5abae8c81,,
